N,ApproximateArea,RelativeError
100,0.79,0
600,0.75,0
1100,0.804545,0
1600,0.779375,0
2100,0.800476,0
2600,0.774231,0
3100,0.78129,0
3600,0.778056,0
4100,0.798293,0
4600,0.787174,0
5100,0.790392,0
5600,0.786429,0
6100,0.79623,0
6600,0.784394,0
7100,0.781408,0
7600,0.784605,0
8100,0.791358,0
8600,0.776047,0
9100,0.787582,0
9600,0.785,0
10100,0.786238,0
10600,0.788679,0
11100,0.783243,0
11600,0.780948,0
12100,0.782149,0
12600,0.780556,0
13100,0.784885,0
13600,0.785735,0
14100,0.787021,0
14600,0.791644,0
15100,0.790596,0
15600,0.785256,0
16100,0.783416,0
16600,0.782108,0
17100,0.785263,0
17600,0.780455,0
18100,0.786133,0
18600,0.785699,0
19100,0.78534,0
19600,0.789337,0
20100,0.784179,0
20600,0.783883,0
21100,0.783791,0
21600,0.782593,0
22100,0.78371,0
22600,0.789248,0
23100,0.784848,0
23600,0.790424,0
24100,0.785643,0
24600,0.782154,0
25100,0.783386,0
25600,0.781758,0
26100,0.783218,0
26600,0.785714,0
27100,0.786937,0
27600,0.783587,0
28100,0.784306,0
28600,0.780385,0
29100,0.787354,0
29600,0.787466,0
30100,0.78485,0
30600,0.783072,0
31100,0.78537,0
31600,0.785854,0
32100,0.781745,0
32600,0.786196,0
33100,0.78997,0
33600,0.786369,0
34100,0.7861,0
34600,0.783815,0
35100,0.778946,0
35600,0.78118,0
36100,0.788033,0
36600,0.783962,0
37100,0.784016,0
37600,0.788032,0
38100,0.784934,0
38600,0.785026,0
39100,0.783683,0
39600,0.785808,0
40100,0.782569,0
40600,0.785788,0
41100,0.78326,0
41600,0.785072,0
42100,0.784513,0
42600,0.784131,0
43100,0.786427,0
43600,0.784404,0
44100,0.785011,0
44600,0.78417,0
45100,0.784922,0
45600,0.786601,0
46100,0.784707,0
46600,0.784914,0
47100,0.786921,0
47600,0.784181,0
48100,0.788399,0
48600,0.784218,0
49100,0.785112,0
49600,0.783468,0
50100,0.782535,0
50600,0.785217,0
51100,0.786301,0
51600,0.78595,0
52100,0.78691,0
52600,0.785513,0
53100,0.781733,0
53600,0.783414,0
54100,0.785545,0
54600,0.785733,0
55100,0.784174,0
55600,0.785396,0
56100,0.785045,0
56600,0.786908,0
57100,0.78352,0
57600,0.785104,0
58100,0.783993,0
58600,0.784556,0
59100,0.787733,0
59600,0.787232,0
60100,0.783095,0
60600,0.786337,0
61100,0.785908,0
61600,0.786591,0
62100,0.783977,0
62600,0.783738,0
63100,0.784976,0
63600,0.787893,0
64100,0.784665,0
64600,0.788034,0
65100,0.785868,0
65600,0.783689,0
66100,0.781891,0
66600,0.782117,0
67100,0.785425,0
67600,0.783299,0
68100,0.785419,0
68600,0.786093,0
69100,0.785123,0
69600,0.785862,0
70100,0.78632,0
70600,0.785453,0
71100,0.785499,0
71600,0.784707,0
72100,0.78534,0
72600,0.785826,0
73100,0.781669,0
73600,0.786359,0
74100,0.785047,0
74600,0.790188,0
75100,0.783688,0
75600,0.786204,0
76100,0.784192,0
76600,0.78406,0
77100,0.784786,0
77600,0.78482,0
78100,0.784085,0
78600,0.787901,0
79100,0.786662,0
79600,0.786545,0
80100,0.785019,0
80600,0.785037,0
81100,0.787065,0
81600,0.78587,0
82100,0.784836,0
82600,0.783039,0
83100,0.784573,0
83600,0.786603,0
84100,0.784126,0
84600,0.781915,0
85100,0.787744,0
85600,0.784918,0
86100,0.78381,0
86600,0.785046,0
87100,0.78248,0
87600,0.785445,0
88100,0.78412,0
88600,0.784176,0
89100,0.784074,0
89600,0.786797,0
90100,0.786626,0
90600,0.786501,0
91100,0.786784,0
91600,0.785731,0
92100,0.786026,0
92600,0.785086,0
93100,0.783727,0
93600,0.786207,0
94100,0.784538,0
94600,0.788161,0
95100,0.786362,0
95600,0.786119,0
96100,0.784693,0
96600,0.78528,0
97100,0.788414,0
97600,0.785502,0
98100,0.784648,0
98600,0.785801,0
99100,0.787659,0
99600,0.785592,0
