N,ApproximateArea,RelativeError
100,1.12,0
600,0.913333,0
1100,0.967273,0
1600,1.0025,0
2100,0.939048,0
2600,0.927692,0
3100,0.931613,0
3600,0.956667,0
4100,0.966829,0
4600,0.894783,0
5100,0.942745,0
5600,0.935,0
6100,0.952131,0
6600,0.968485,0
7100,0.983099,0
7600,0.952632,0
8100,0.93037,0
8600,0.92,0
9100,0.929231,0
9600,0.933333,0
10100,0.970297,0
10600,0.957736,0
11100,0.952432,0
11600,0.948621,0
12100,0.952066,0
12600,0.946349,0
13100,0.935267,0
13600,0.908235,0
14100,0.959433,0
14600,0.940548,0
15100,0.945166,0
15600,0.964103,0
16100,0.943851,0
16600,0.945542,0
17100,0.961871,0
17600,0.959091,0
18100,0.946961,0
18600,0.925376,0
19100,0.939058,0
19600,0.937347,0
20100,0.943284,0
20600,0.936699,0
21100,0.94218,0
21600,0.943889,0
22100,0.914751,0
22600,0.940531,0
23100,0.947879,0
23600,0.94661,0
24100,0.94473,0
24600,0.924228,0
25100,0.941195,0
25600,0.928281,0
26100,0.92659,0
26600,0.952481,0
27100,0.950406,0
27600,0.934348,0
28100,0.944057,0
28600,0.951469,0
29100,0.940069,0
29600,0.949189,0
30100,0.934352,0
30600,0.936993,0
31100,0.945852,0
31600,0.947468,0
32100,0.931838,0
32600,0.937669,0
33100,0.956012,0
33600,0.942262,0
34100,0.948974,0
34600,0.932139,0
35100,0.951909,0
35600,0.946067,0
36100,0.941828,0
36600,0.941093,0
37100,0.955903,0
37600,0.93383,0
38100,0.941417,0
38600,0.939793,0
39100,0.931765,0
39600,0.953838,0
40100,0.951222,0
40600,0.937438,0
41100,0.928175,0
41600,0.945769,0
42100,0.949549,0
42600,0.956714,0
43100,0.935313,0
43600,0.933945,0
44100,0.942041,0
44600,0.946726,0
45100,0.936851,0
45600,0.94614,0
46100,0.94551,0
46600,0.948155,0
47100,0.939618,0
47600,0.933109,0
48100,0.950353,0
48600,0.947737,0
49100,0.95666,0
49600,0.965806,0
50100,0.938922,0
50600,0.942767,0
51100,0.942779,0
51600,0.931705,0
52100,0.95094,0
52600,0.948365,0
53100,0.942674,0
53600,0.945373,0
54100,0.950462,0
54600,0.947766,0
55100,0.940617,0
55600,0.953813,0
56100,0.940535,0
56600,0.947279,0
57100,0.947881,0
57600,0.946875,0
58100,0.953873,0
58600,0.9357,0
59100,0.947208,0
59600,0.949329,0
60100,0.939501,0
60600,0.945809,0
61100,0.943633,0
61600,0.932143,0
62100,0.940354,0
62600,0.953802,0
63100,0.946117,0
63600,0.943836,0
64100,0.946022,0
64600,0.952198,0
65100,0.943717,0
65600,0.942439,0
66100,0.962421,0
66600,0.953273,0
67100,0.941341,0
67600,0.944024,0
68100,0.948135,0
68600,0.931662,0
69100,0.950217,0
69600,0.954655,0
70100,0.945392,0
70600,0.943003,0
71100,0.944698,0
71600,0.940056,0
72100,0.943967,0
72600,0.947989,0
73100,0.955841,0
73600,0.943533,0
74100,0.944777,0
74600,0.94118,0
75100,0.939547,0
75600,0.943492,0
76100,0.938922,0
76600,0.937023,0
77100,0.934682,0
77600,0.950258,0
78100,0.940026,0
78600,0.945445,0
79100,0.939317,0
79600,0.927136,0
80100,0.950462,0
80600,0.95062,0
81100,0.946486,0
81600,0.942157,0
82100,0.954397,0
82600,0.942179,0
83100,0.936799,0
83600,0.949426,0
84100,0.939596,0
84600,0.941182,0
85100,0.94369,0
85600,0.934393,0
86100,0.942346,0
86600,0.94254,0
87100,0.947325,0
87600,0.947854,0
88100,0.935709,0
88600,0.937743,0
89100,0.945903,0
89600,0.944063,0
90100,0.949967,0
90600,0.943532,0
91100,0.940417,0
91600,0.954148,0
92100,0.951227,0
92600,0.936242,0
93100,0.944361,0
93600,0.946795,0
94100,0.951286,0
94600,0.94296,0
95100,0.955037,0
95600,0.943766,0
96100,0.941353,0
96600,0.951346,0
97100,0.943893,0
97600,0.942705,0
98100,0.95421,0
98600,0.941866,0
99100,0.943532,0
99600,0.94743,0
